A,B,C
M/S JOYRAM MEDICAL HALL(DR GAUTAM MAJUMDAR),,
BHATIA DISTRIBUTORS,,
RACHANA GAJANAN PAWAR-073441,,
DR ANURADHA,,
AMARA PHARMACY AMARA HOSPITAL A UNIT OF G 2HEALTH CARE LIMITED,,
DR.RADHA GUPTA (S&B),,
SHRI SAMARTH MEDICAL,,
TAVISHA ENTERPRISES(E-Com),,
MALATI DRUGS DISTRIBUTORS,,
JAGANATH ENTERPRISES (E-COM),,
UMANG PHARMA-Galderma,,
AURA SKIN INSTITUTE-Galderma India Pvt. Ltd.,,
DO NOT USE ARUNA ENTERPRISES,,
WELFARE PHARMACEUTICALS,,
MORE RETAIL LIMITED-BENGALURU,,
USHA STORES,,
VINCY FELIX-032343,,
UMAR PHARMACEUTICAL DISTRIBUTORS,,
PHARMA AGENCY,,
SREE VATHSA MEDICAL & GENERAL STORES,,
MEHER DISTRIBUTORS PVT. LTD.,,
PARSHVA AGENCY,,
GURUPRASAD MEDICAL,,
MOHAN CHEMIST,,
EXTENSOR PHARAMCEUTICAL DISTRIBUTORS,,
GURU JI KIDS WORLD - SUNDER NAGAR,,
SOOD MEDICINE TRADERS PVT. LTD.,,
L.K.PHARMACEUTICALS,,
SHREESAI ENTERPRISES,,
KANISHKA PHARMACEUTICALS,,
ARYAN MEDICARE PVT.LTD.,,
ONE UP TRADE PRIVATE LIMITED,,
Choudhary Agencies  E-Com,,
DR SONIA OBEROI,,
PRASHANTH PAVITHRAN (DR DHANYA PRASHANTH),,
SHIVAJI MEDICAL AGENCY,,
KAKKAR PHARMACY C/O DR NIKITA AGGARWAL,,
DERMAVILLA SKIN & HAIR CLINIC - S&B,,
DR SONIA FEROZ,,
SHREE SAIRAJ MEDICAL,,
RADIANCE HEALTHCARE,,
RBD PHARMA PRIVATE LIMITED (Dr. SHAILVI BANKA BIYANI),,
ELIAN TRADING COMPANY PVT LTD(S&B- NAVI MUMBAI),,
CLOUDTAIL INDIA PRIVATE LIMITED (SCCG),,
FUTURE RETAIL LIMITED (HQ- E-COMMERCE) AHMEDABAD,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) THANE,,
M/S SWOSTI'S SKIN CLINIC C/O DR SWOSTI MOHANTY,,
SRI RAM PHARMA AGENCIES,,
RAVI DHABHAI-059916,,
METRO CASH & CARRY INDIA PVT. LTD-DC 24-INDORE,,
M.Kiran -202224977,,
SHIVANITIN AGENCIES PRIVATE LIMITED - RX,,
SRM MEDICOS,,
KARE MEDICAL,,
SAI SAMARTH MEDICAL STORES CHEMIST & DRUGGIST,,
VASIRAJU LAKSHMI NARASIMHA RAO-073172,,
SAAMEERI  PHARMA ,,
DR B SANTHIKIRAN,,
DIPANKAR KAYAL-072925,,
Ramesh Kumar R -202225000,,
KOLKATA RX S&B PISPL(HQ CETAPHIL ASANSOL / RX DURGAPUR),,
A.G SKIN SCIENCE CLINIC LLP (Dr. ANUSREE GANGOPADHYAY),,
REFYN'D DERMATOLOGY & AESTHETIC CLINIC,,
CHIRAYINKEEZHU MEDICAL CENTRE ( Dr.SREELATHA DEVI  ),,
SAMPURNA ENTERPRISES,,
M.B.MEDICAL AGENCIES,,
K KARTHIK-068321,,
SAWANT PRASENJIT MADHUKAR-073141,,
PARAG MAJUMDAR-042131,,
METRO CASH & CARRY INDIA PVT. LTD-DC 10-BL-1(YESHWANTPUR),,
SHREYAS DISTRIBTORS,,
ANAND MEDICALS (S&B),,
M/S. SAI KRIPA ASSOCIATES  (Dr. DHARMENDRA KUMAR SAHU),,
NYKAA E-RETAIL PRIVATE LIMITED,,
METRO CASH & CARRY INDIA PVT. LTD-DC 12-HY-1(MOOSAPET),,
BHARDWAJ MED.AGENCY,,
MEDICO DISTRIBUTORS,,
GOURAB BISWAS-073105,,
UNIQUE TRADERS - CX,,
MUTHUKUMAR MEDICAL AGENCIES,,
M/S KOMAL MARKETING,,
M/S M. R ENTERPRISES,,
MITRA ENTERPRISES(GIPL RX),,
K S VENTURE,,
PARTH AGENCIES,,
SHREE GANESH MEDICOS,,
M/S SHIVAM MEDICAL STORE,,
ANUPAMA MARKETING,,
SADANA'S SKIN PHARMACY,,
M/S MPG AGENCIES,,
JOGESHWARI SALES-E-COM,,
V. R. ENTERPRISE,,
NEELAY E-COM,,
SKIN HEALTH ( C/O DR KAVINA PURI),,
SIDDARAM-073002,,
MORE RETAIL LIMITED,,
RG SALES-V,,
ARTIUS HEALTHCARE PRIVATE LIMITED - S&B,,
DR MONALI PATTNAIK,,
ALSAFA TRADERS,,
SAHASRA PHARMA,,
M/S PSR PHARMA C/O DR. RISHABH CHAUHAN,,
CLOUDTAIL INDIA PRIVATE LIMITED - BANGALORE -BLR7,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) BENGALURU,,
METRO CASH & CARRY INDIA PVT. LTD-DC 16-HY-3(SHAMSHABAD)-Galderma India Pvt. Ltd.,,
ANURADHA ENTERPRISES,,
SKIN CARE CHEMISTS AND DRUGGISTS C/O DR.PUNEET SINGH SOODAN,,
TOYS TOWN,,
RAJESH MEDICAL AGENCIES,,
SUPER SAJAWAT,,
KSR DISTRIBUTORS,,
DHANRAJ MEDICOSE,,
NAVYA DEESHA EXPRESS,,
EKDANT MEDICAL AND COSMETIC STORE,,
DR SAVANA WAIKHOM,,
DR MONALI SUTRADHAR,,
EXPLOPACK,,
DR SURBHI BANSAL - S&B,,
SHIV MEDICAL - S&B,,
BABY'S WORLD-V,,
JAYSHRI MEDICAL STORES,,
DR. SRITAMA RUZ,,
AVYAAN MEDICO,,
SPARSH PHARMACY(S&B),,
DR PARAG VIBHAKAR,,
TRISHA MEDICOSE,,
DR AMITA MUNDRA - S&B,,
Ezee Logistics,,
SHRI BHUTADA TRANSPORT,,
RAJPUTANA AGENCIES-V,,
AARTI MEDICAL,,
AAYUSH MEDICAL AND GENERAL STORES,,
AL-NOOR MEDICAL STORES,,
ANAND MEDICALS,,
ARIF MEDICAL STORES AURANGABAD,,
ARYADURGA CHEMIST & DRUGGIST,,
AVANI MEDICAL STORE,,
BELLEVUE HOSPITAL CHEMIST,,
CHEMIST HUB,,
CHIRAYU MEDICAL STORES,,
CLARO SKIN CLINIC - BORIVALI,,
COZMOMED PHARMACY,,
CUTIS AND CARE CHEMIST,,
DERMA MEDICINE POINT,,
DERMA SPACE,,
DERMACOS SKIN & HAIR CLINIC,,
DERMAESSENTIA CLINIC- KHAR,,
DR ASHISH DESHMUKH,,
DR. MILI SHAH-Galderma India Pvt. Ltd.,,
SKIN VOGUE-Galderma India Pvt. Ltd.,,
DR PRATIK THACKER,,
DR RICHA SALUNKE,,
DR SHWETA NAKHWA-Galderma India Pvt. Ltd.,,
DR SIDDHESHWAR MATHPATI,,
DR WILSON MEDICALS,,
EVA MEDICAL SHOP,,
GRACE N GLORY MEDICAL PVT.LTD.,,
GURU GANESH MEDICAL,,
GURUKRUPA MEDICAL,,
HARSH MEDICAL AND GENERAL STORES,,
HEALTHCARE CHEMIST,,
K K DISTRIBUTORS,,
KAYAKALP MEDICAL,,
KOPIKAR DERMATOLOGY,,
KRISHNAKRUPA MEDICAL,,
KRISHNAKRUPA MEDICAL & STORES -KHARADI PUNE,,
KRISHNAKRUPA MEDICAL -PUNE-2,,
LIFECARE PHARMACY,,
MAHAVIR MEDICAL AND GENERAL STORES,,
MANASVI MEDICAL & GEN. STORE,,
MANOJ MEDICAL AND GENERAL STORES,,
MEDICINE BOX- ANDHERI WEST,,
NATIONAL MEDICAL & GENERAL STORE,,
NAVKAR MEDICAL AND OPTICALS,,
NEELKANTH MEDICALS,,
NEW AKSHAY MEDICAL & GENERAL STORE,,
NEW EMPIRE CHEMIST,,
NEW SAI MEDICAL,,
NIKITA MEDICAL,,
OM MEDICAL & GENERAL STORE,,
OMAIR MEDICAL,,
PANDIT CLINIC,,
PHARMACY SKIN SOLUTION,,
PUSPHA MEDICAL,,
"RA CLINIC PHARMACY, SANTACRUZ",,
RATHI MEDICAL,,
ROSEMINT PHARMA,,
RUDRA PHARMA,,
S.M MEDICAL,,
SANDESH MEDICAL & GENERAL STORE,,
SANIKA MEDICAL AND GENERAL STORES,,
"SANU MEDICAL & GENERAL STORES, ANDHERI WEST",,
SANVI MEDICAL AND GENERAL STORES,,
SAYA MEDICAL AND GENERAL STORES,,
SENTRA CLINIC & HOSPITAL,,
SHIV GANGA MEDICAL,,
SHRADDHA MED. & GENERAL STORE,,
SHRI MAHALAXMI MEDICAL,,
SHRI RAM DISTRIBUTORS-DHULE,,
SHRI SAI MEDICAL- NAGPUR,,
SHRI VENKATESH MEDICAL,,
SHUBH MEDICALS,,
SIDDHIVINAYAK MEDICALS,,
SKIN ZONE MEDICAL,,
SKINCARE MEDICAL,,
SOCIETY CHEMIST,,
SPARSH MEDICAL & GEN STORES,,
SRISHTI SKIN CLINIC,,
SUMANT MED & GEN STORE,,
SUN MEDICOS AND GENERAL STORES,,
TAPASYA SKIN AND HAIR CLINIC,,
AGELESS,,
TVACHA MEDICAL,,
VARDAAN HOSPITAL,,
VIRAJ ENTERPRISES,,
YUVRAJ MEDICOS,,
DR DEEPTI GHIA,,
ASHAPURI MEDICALS AND COSMECETICALS PRIVATE LIMITED,,
NILKANTH MEDICO,,
DR KARISHMA BALANI,,
DR THANSIHA NARGIS,,
AADI MEDICALS & GENERAL STORES,,
BALAJI PHARMA,,
NEEL KAMAL MEDICAL & GENERAL STORES,,
DR NARMADA MATANG-Galderma India Pvt. Ltd.,,
DR.ATUL GIRI,,
NEW KRISHNA MEDICAL AND GENERAL STORES,,
AMI DERMATOLOGY & WELLNESS PVT.LTD.-KALYAN,,
KIRAN'S CLINIC,,
DR SANJAY CHOPRA,,
DR SUCHITA PARAB,,
RUDRA MEDICAL STORES,,
HEALTH CHEMIST,,
ROSHAN MEDICAL (DR. YASMIN HAWALDAR),,
TULJAI MEDICAL & GENERAL STORE,,
TEJAM MEDICAL AND GENERAL STORES,,
DR ABHAY TALATHI,,
DR NEHA'S MEDICAL AESTHETICS PRIVATE LIMITED,,
DR VAIBHAV KALAMBE,,
ANIKA MEDICAL STORE,,
KALIKA MEDICAL AND GENERAL STORES,,
BHARGAWA MEDICAL AGENCIES,,
DR HIMANSHI MARU,,
PALEPU PHARMA PVT.LTD. - (S&B)COIMBATORE,,
ABHEE ENTERPRISES,,
ASHOKA MEDICAL AGENCY,,
BHALOTIA ONLINE RETAILS PRIVATE LIMITED,,
CUREBOAT HEALTHCARE PRIVATE LIMITED,,
DOCTOR'S PHARMA,,
ERINA DISTRIBUTORS,,
ESPION ENTERPRISES,,
EVEREST ENTERPRISES,,
GOLDY ASSOCIATES,,
HANDMADE OCCASIONS,,
JAI HARI DRUG HOUSE,,
KEMEXEL ECOMMERCE PRIVATE LIMITED-Karnal,,
KMG WIRES PVT. LTD.,,
LACHMANDAS TRADING COMPANY,,
MATADI PHARMACEUTICALS,,
NARAYANI CORPORATE,,
ALOK PHARMA (DR BIRENDRA PRASAD),,
UNITED AGENCIES-Galderma,,
RISHAB MARKETING,,
Govindarajan K -202225065,,
RAJNIKANT KESHAVLAL & SONS,,
S. S. BROTHERS -LUCKNOW -HQ- SELF- MEDICATION,,
SAGAR SALES CORPORATION,,
SHRI DATTA AGENCIES,,
SHRI SIDDHI SALES,,
SRI GANESH AGENCIES - HYDERABAD,,
SWARAJ INTERNATIONAL,,
VAISHNAVI PHARMA,,
VINNI MEDICOS,,
S.S.AGENCY,,
ARHAM INTERNATIONAL- Delhi,,
BEST PHARMA,,
CHANDRS ENTERPRISES,,
DAIWICK CORPORATION,,
DAWN AGENCY,,
FLIPKART INDIA PRIVATE LIMITED (BIL),,
G.RAMA & SONS,,
GAYATRI AGENCIES,,
HIBHAI LABS PVT. LTD.-ERNAKULUM,,
JASREEN ENTERPRISES,,
KALPANA MEDICAL STORES,,
KARTHIK MEDICAL AGENCIES,,
KEMEXEL E-COMMERCE PRIVATE LIMITED,,
KEMEXEL ECOMMERCE PVT LTD - GURGAON,,
KEYUR SALES - MUMBAI,,
LACHMANDAS TRADING COMPANY-KOCHI,,
MANESAR CX GONDOLA PISPL(DELHI 2),,
LYNNS ENTERPRISES,,
M.L.AGENCIES,,
MAHARAJA DISTRIBUTORS,,
MAHAVIR AGENCIES - 101900085,,
MEDICARE ENVIRONMENTAL MANAGEMENT PVT. LTD.,,
ABHI MEDICALS,,
METRO CASH & CARRY INDIA PVT. LTD-DC 15-HY-2(UPPAL),,
MORE RETAIL LIMITED-CHENNAI,,
NARULA MEDICINE CO,,
NEELKANTH DRUGS PVT.LTD (DELHI),,
OM ENTERPRISES,,
OMSHRI AGENCIES,,
R.S.VENTURE -VARANASI,,
RADHIKA AGENCIES,,
RAGHUBIR PHARMACEUTICAL DISTRIBUTORS,,
RAU AND CO PHARMA PRIVATE LIMITED,,
RESHAM ELECTRONICS - DEHRADUN -HQ- SELF- MEDICATION,,
SANCO - NOIDA,,
SANTRAM MEDICAL AGENCY,,
SIMONA MARKETING,,
SKIN STORE (HQ- SELF- MEDICATION),,
THE ORGENO INC-Coimbatore,,
TIRUPATI MEDICAL STORES,,
VASU PHARMA DISTRIBUTORS HYD PRIVATE LIMITED,,
AKSHARA ENTERPRISES,,
AKSHAYA MEDICAL AND SURGICAL AGENCIES,,
BALUBHAI AGENCIES,,
CHACHA MEDICAL AGENCIES PVT.LTD.,,
CHAYA TRADERS,,
CHAYA TRADERS-BENGALORE,,
EAN ENTERPRISES-MUMBAI,,
FLIPKART INDIA PRIVATE LIMITED (MUM_BNDI),,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) CHENNAI,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) COCHIN,,
DR. A. K. UPADHYAY,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) GURGOAN,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) LUCKNOW,,
SRI ALAGU PHARMA,,
GODAVARI AGENCIES,,
HOPSCOTCH WHOLESALE TRADING PRIVATE LIMITED,,
KRISHNAM (HQ- SELF- MEDICATION),,
LIFE LINE PHARMACEUTICALS PVT LTD,,
METRO CASH & CARRY INDIA PVT LTD DC-32-MEERUT,,
METRO CASH & CARRY INDIA PVT. LTD-DC 17-VIJAYAWADA,,
NANI GOPAL & SONS,,
NIKITA AGENCIES,,
SAHIB SINGH AGENCIES,,
SANCO - DELHI 2,,
SANJIVAN UNIVERSAL,,
SERVICE,,
SOS DRUGS,,
SPECTRUM FACILITY SOLUTIONS,,
TIMASCUS INDIA LLP,,
VENKATA KRISHNA ENTERPRISES PVT LTD,,
AL-FAISAL ENTERPIRSES,,
ATHARVA CHEMIST,,
BANU ENTERPRISES,,
BHASIN MEDICAL STORES,,
CUISINE 2000 ( E-COM),,
DEVI PHARMA,,
EAN ENTERPRISES,,
ESSENCO (DELHI-2),,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) BARASAT,,
GURUKRIPA SURGICAL & PHARMACEUTICAL,,
KANAGAVALLI PHARMA,,
M/S SHAH & COMPANY,,
MAHAVEER AGENCIES,,
MANGALAM,,
METRO CASH & CARRY INDIA PVT. LTD-DC 19 -BL-4 (ETA),,
METRO CASH & CARRY INDIA PVT. LTD-DC 45-RJ (JAIPUR),,
MIN2MAX RETAILS COMPANY,,
MORE RETAIL LIMITED-ALAPPUZHA,,
MORE RETAIL LIMITED-FATEHGARH,,
MORE RETAIL LIMITED-KOLKATA,,
MUTHU'S MEDICKAL AGENCIES- S&B (MADURAI),,
NEW RUPMAHAL,,
PARIJAT PROTEEN AGENCIES - 101900030,,
PARVATHY AGENCIES,,
RAJMUDRA CORPORATION (HQ- SELF- MEDICATION),,
RASHMI MEDICO,,
RS ENTERPRISES,,
VIJAY MEDICAL,,
SAI BALAJI INTERNATIONAL,,
SAI KRITHANYA -ERODE,,
SEEMA PHARMACEUTICALS,,
SESHA BALAGEE MEDICAL AGENCIES,,
SHREE SWAMY PHARMA,,
SHREEPAL MEDICALS,,
SHRI SWAMI SAMARTH MEDICO,,
DR NEENA KURIAN,,
SIVA SHANKAR MEDICAL AGENCIES,,
SRI BALAJI DRUG AGENCIES,,
UNITED MEDICAL STORES-Galderma,,
SRI KRISHNA ENTERPRISES,,
SRI VASAVI MEDICAL AGENCIES,,
THETTAYIL MARKETING,,
WINTECH COMMUNICATION,,
AAROGYA PHARMA,,
ADITYA DISTRIBUTORS -PANVEL,,
AJINKYA PHARMACEUTICAL & DISTRIBUTORS,,
BALAJI MEDICALS,,
BANSAL PHARMA,,
BHAVIKA SALES AGENCY - (HQ - GURGAON ),,
CHETHANA PHARMA,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) LUDHIANA,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) MEDCHAL MANDAL,,
FUTURE RETAIL LIMITED. BB-JAIPUR-CITY SQUARE MALL,,
GODAVARI PHARMA SALES PVT. LTD -RATNAGIRI,,
ICHALKARANJI SALES CORPORATION,,
J V ENTERPRISE (RX-ND),,
L & T MEDICARE,,
MEDI WINGS,,
METRO CASH & CARRY INDIA PVT. LTD-DC 23-MUM-2(BORIVALI),,
MONARK MARKETING,,
VIKAS PHARMACY,,
AADVIK MEDICALS,,
S. K. ENTERPRISE,,
S.R.ENTERPRISES,,
S.H. PHARMACEUTICALS,,
DR KOVI SNEHA,,
SAHA TRADERS,,
ICICI Bank Limited - PC,,
SHREE SWAMY TRADERS,,
SAI PURNIMA MEDICALS,,
THE DRUG HOUSE,,
VASU PHARMA DISTRIBUTORS,,
REIKA CURE AND CARE LLP - S&B,,
VRSL TRACONS PRIVATE LIMITED,,
ZENITH MARKETING SERVICES,,
A.S.PHARMA,,
AGARWAL & COMPANY,,
ALPHABET,,
DR R M SINGH,,
ALFA-PLUS,,
ALIS MEDICAL AGENCY,,
M/S COSMIQ PHARMACY,,
ANNAPOORNA MEDICAL AGENCY,,
ANVI TRADING,,
APOLLO PHARMACY (NOIDA),,
ARHAM INTERNATIONAL (OKHLA - DELHI),,
ARHAM INTERNATIONAL-CHANDIGARH,,
ARUNA IMPEX,,
AUSHAD DISTRIBUTOR,,
BANERJEE ENTERPRISES,,
BANSAL MEDICOS,,
SRI KRISHNA MEDICALS,,
BAWA MEDICAL AGENCIES,,
BEEMED PHARMA SOLUTIONS PVT. LTD,,
BHARAT OIL & WASTE MANAGEMENT LTD.,,
BRIJ PHARMA,,
C TRADES,,
CHANDRA PHARMACETICALS DISTRIBUTORS,,
CHIRAG ENTERPRISES -KOLKATA,,
COMBINED MEDICAL AGENCIES,,
CURATIO HEALTH CARE (I) PVT.LTD - 2509,,
D.JAYANTILAL & CO.,,
DHANVANTARI PHARMA DISTRIBUTORS PVT LTD,,
DUTTA MEDICAL SERVICE,,
EAN ENTERPRISES-BANGALORE,,
EAN ENTERPRISES-KOLKATA,,
EFF AAY TRADERS,,
EMPEE DISTRIBUTORS - ( HQ - BANGALORE),,
ESSENCO,,
ESSENCO - E-COM,,
ESSENCO - SELF MEDICATION,,
PARMINDER SINGH,,
FASHION SECRETS,,
FLIPKART INDIA PRIVATE LIMITED (HQ- E-COMMERCE),,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) PALAKKAD,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) POOCHIATHIPEDU,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) RAJPURA,,
GANAPATI CARE -LUCKNOW,,
GANESH PLA AGENCIES,,
GARG AGENCIES,,
GET WELL MEDICARE,,
GOODWILL ENTERPRISES-VIJAYWADA,,
GROVER MEDICAL AGENCIES,,
GROVER TRADERS-LUCKNOW,,
GRS ENTERPRISES,,
HINDUSTAN DRUG HOUSE,,
HOSWIN INCINERATOR PVT. LTD.,,
INK PENCIL,,
JAGGI PHARMACEUTICALS,,
JAI MATA DI DRUG TRADERS,,
JAISWAL PHARMA -JABALPUR,,
JARSY MEDICAL AGENCIES,,
JAY MEDICALS,,
JAYA MEDICAL STORES,,
SRI KRISHNA MURTHY & SON MEDICAL STORES,,
KAMAKHYA ENTERPRISES,,
KASHISH TRADING,,
KD PHARMA,,
KHANDELWAL MEDICAL AGENCY,,
KIDS CORNER-SILIGURI,,
KISHAN ENTERPRISES,,
KMG GLOBAL-MUMBAI,,
KOTHARI PHARMA,,
KRIDAY TRADELINKS,,
KUMAR MEDICINE COMPANY,,
SPARSH MEDICAL,,
LAZZ MEDICO,,
LOKPRIYA DISTRIBUTORS,,
M N INTERNATIONAL,,
M/S ALLIED TRADECOMM,,
M/S RAYS INFORMATICS,,
M/S SUMITRA MARKETING,,
MAA DURGA TRADERS,,
MAA SHAKUMBHARI ENTERPRISES,,
MAHIR ENTERPRISES,,
MARK ENTERPRISES,,
SRI UDHAYAM TRADER,,
MEDIMPEX,,
MEHEK ENTERPRISES-AMRITSAR,,
MEHTA SALES-BANGALORE,,
METRO CASH & CARRY INDIA PVT. LTD-DC 18-BL-3 (HOSUR),,
ARCHANA MEDICALS,,
METRO CASH & CARRY INDIA PVT. LTD-DC 29-HY-4(KOMPALLY),,
METRO CASH & CARRY INDIA PVT. LTD-DC 42-PB (LUDHIANA),,
METRO CASH & CARRY INDIA PVT. LTD-DC 52-DL (SEELAMPUR),,
MITTAL & MITTAL DIST.,,
MORE RETAIL LIMITED- DELHI,,
MORE RETAIL LIMITED-DHARWAD,,
MORE RETAIL LIMITED-HYDERABAD,,
MORE RETAIL LIMITED-VIJAYWADA,,
MORE RETAIL LIMITED-VISAKHAPATNAM,,
MUSKAN MEDICOSE,,
MUTHU'S MEDICKAL AGENCIES- S&B (TRICHY),,
NAGARAJU MED&SURG AGENCIES,,
NAINANI MEDICO,,
NARAYAN PHARMACEUTICALS,,
NAVIN TRADERS (DELHI),,
NAVKAAR IMPEX,,
NEELKANTH DRUGS PVT.LTD.,,
NEELKANTH ENTERPRISES,,
NIRMITEE RETAILS PVT. LTD.,,
ONKAR AGENCIES -LUDHIANA,,
ONS TRADELINKS,,
PEECEE MEDICAL AGENCIES,,
PRABHAT AGENCIES,,
R. B. DISTRIBUTORS,,
RG SALES,,
S K PHARMA,,
S R PHARMACEUTICALS,,
S.S.RETAIL AGENCY,,
SABARI TURGH AGENCEES,,
SADICHCHHA MEDICAL,,
SAHIB SINGH (KANDIVALI),,
SAMRAT MEDIPHARMA,,
SANCO - DELHI 1,,
SARASWATHI AGENCIES,,
SATNAM & CO,,
SATYAM MEDICAL STORE,,
SHAH ENTERPRISES,,
SHANBALAJI PHARMA PRIVATE LIMITED,,
SHANTI STORES- BEHRAICH- UP,,
SHREE BRINDABAN IMPEX,,
SHREE MEDICOSE,,
SHREE SAINATH ENTERPRISES,,
SHREE SAMARTH ENTERPRISES,,
SHREE SIDDHI,,
SHRIM ENTERPRISE,,
SHRI PARVATHY HEALTH CARE,,
INDORE RX S&B PISPL(HQ BHOPAL),,
SRI GANESH AGENCIES,,
SRI SOWNDER AGENCIES,,
SRI VENKATA SAI MEDICAL AGENCIES,,
SUJITH ASSOCIATES,,
SULABH SALES CORPORATION,,
SUNRISE PHARMA,,
SUPER DISTRIBUTORS,,
PRASAD J PATHARE-010293,,
SURESH PHARMACEUTICALS S&B ( HQ -COIMBATORE),,
SURESH PHARMACEUTICALS S&B ( HQ -ERODE),,
TARAK ELECTRIC ENTERPRISES -24 PARAGANAS,,
TERRIL IMPEX INDIA PVT,,
TERRIL IMPEX INDIA PVT LTD-Ghaziabad,,
THE ORGENO INC.,,
TOTAL WASTE MANAGEMENT PROJECT.,,
VANYA ENTERPRISES-GHAZIABAD,,
VASU VACCINES & SPECIALITY DRUGS,,
VENKATESHWARA PHARMACEUTICALS,,
VERMA BROS & CO.,,
VIGNESH ENTERPRISE,,
VIJAY PHARMA,,
VIMAL PHARMA INTERNATIONAL,,
VISHAL ENTERPRISES,,
SHIVAM ENTERPRISE -MT NORTH,,
DERMA EAZY PHARMA - RX,,
ARUNA ENTERPRISES-Galderma,,
AVADH MEDICAL AGENCIES-Galderma,,
GAUTAM AGENCIES-Galderma,,
EYE VISION-Galderma,,
GHOSH ENTERPRISES-Galderma,,
GREEN RECYCLING WASTE MANAGEMENT-Galderma,,
GUPTA MEDICAL AGENCIES-Galderma,,
LIFECARE PHARMACEUTICALS-Galderma,,
MEHTA & SONS-Galderma,,
MUMBAI WASTE MANAGEMENT LTD.-Galderma,,
NYKAA E-RETAIL LIMITED (MUMBAI)-Galderma,,
PRERANA SALES CORPORATION-Galderma,,
PHARMA PLUS-Galderma,,
SHIVA ENTERPRISES-Galderma,,
SHIVAM ENTERPRISES-Galderma,,
SHREE SIMBA CHEMIST-Galderma,,
SRI VENKATESHWARA ENTERPRISES-Galderma,,
AHUJA SALES CORPORATION (HQ- SELF- MEDICATION),,
APOLLO HOSPITALS ENTERPRISE LIMITED,,
APOLLO PHARMACY (BHUBANESWAR),,
APOLLO PHARMACY (DELHI ),,
APOLLO PHARMACY (HYDERABAD),,
APOLLO PHARMACY - 1842,,
APOLLO PHARMACY- JAIPUR,,
APOLLO PHARMACY(AHMEDABAD),,
ARIHANT MEDITECH,,
AVENEUS PHARMACEUTICALS ASSOCIATES,,
AVENUE PHARMA DISTRIBUTORS-HORMAVU-(BANGALORE),,
AVENUES PHARMACEUTICALS ASSOCIATES- HORAMAVU,,
CHIRAG AGENCIES,,
CLOUDTAIL INDIA PRIVATE LIMITED - BANGALORE -BLR5,,
CLOUDTAIL INDIA PRIVATE LIMITED - BHIWANDI -BOM1,,
CLOUDTAIL INDIA PRIVATE LIMITED - BHIWANDI -BOM3,,
CLOUDTAIL INDIA PRIVATE LIMITED - BHIWANDI -BOM5,,
CLOUDTAIL INDIA PRIVATE LIMITED - BHIWANDI -BOM6,,
CLOUDTAIL INDIA PRIVATE LIMITED - BHIWANDI -SBOC,,
CLOUDTAIL INDIA PRIVATE LIMITED - CHENNAI -MAA4,,
CLOUDTAIL INDIA PRIVATE LIMITED - CHENNAI -MAA5,,
CLOUDTAIL INDIA PRIVATE LIMITED - HYDERABAD -HYD8,,
CLOUDTAIL INDIA PRIVATE LIMITED - KARNAL - DEL3,,
CLOUDTAIL INDIA PRIVATE LIMITED - KARNAL - DEL5,,
CLOUDTAIL INDIA PRIVATE LIMITED - KARNAL -DEL4,,
CLOUDTAIL INDIA PRIVATE LIMITED - KOLKATA -SCCC,,
ELIAN TRADING COMPANY PVT LTD(S&B- MUMBAI CENTRAL),,
ELIAN TRADING COMPANY PVT LTD(S&B- MUMBAI WESTERN),,
ELIAN TRADING COMPANY PVT LTD(S&B- NAGPUR),,
GOMATI INCINCO,,
GREEN RECYCLING WASTE MANAGEMENT-Galderma-Galderma India Pvt. Ltd.,,
GREEN RECYCLING WASTE MANAGEMENT- KARNAL,,
INDORE RX S&B PISPL(HQ RAIPUR),,
KASI PHARMA DISTRIBUTORS PVT LTD,,
SHREE MARUTI NANDAN PHARMACEUTICALS PVT LTD,,
Karnal Rx S&B PISPL(HQ-Cetaphil RX Delhi-1),,
Karnal Rx S&B PISPL(HQ-Dehradun ),,
Karnal Rx S&B PISPL(HQ-Gurgaon ),,
Karnal Rx S&B PISPL(HQ-LUDHIANA),,
Karnal Rx S&B PISPL(HQ-ROHTAK),,
Karnal Rx S&B PISPL(HQ-SRINAGAR),,
LUCKNOW RX S&B PISPL(HQ-GHAZIABAD),,
KAVERI AGENCIES,,
LUCKNOW RX S&B PISPL(HQ-NOIDA),,
LUCKY PHARMACEUTICALS PVT. LTD.,,
MEDSOURCE HEALTHCARE PVT. LTD. - DELHI,,
PURANI HOSPITAL SUPPLIES LTD,,
PALEPU PHARMA PVT.LTD. - CHENNAI,,
PEARL MEDICALS PRIVATE LTD.,,
PALEPU PHARMA PVT.LTD. - COIMBATORE,,
